ligand_id,ligand_name,num_atoms,spm_score,molskill_score,is_ns
144,5ttf_C_rec_4nvq_2od_lig_tt_docked_1_pocket10_gen_sample_1,24,-3.190235,10.160000,No
145,NS-022250605-0000,17,-0.077602,-3.110000,Yes
146,4nwd_A_rec_4igr_3za_lig_tt_docked_2_pocket10_gen_sample_13,17,-2.779631,17.210000,No
147,NS-012975133-0000,21,-0.306570,4.680000,Yes
148,4hiq_A_rec_1u21_p2c_lig_tt_min_0_pocket10_gen_sample_9,21,-3.611211,18.100000,No
149,NS-020005765-0000,22,-0.830264,-12.110000,Yes
150,1z57_A_rec_2vag_v25_lig_tt_min_0_pocket10_gen_sample_15,22,-1.672344,10.400000,No
151,NS-008315881-0000,13,-0.912249,15.720000,Yes
152,1p0b_A_rec_1s38_maq_lig_tt_docked_0_pocket10_gen_sample_17,13,-2.258192,18.710000,No
153,NS-012868876-0000,24,-0.744549,-0.440000,Yes
154,3ans_A_rec_5alp_qyd_lig_tt_docked_1_pocket10_gen_sample_7,24,-2.479888,6.440000,No
155,NS-050021099-0000,26,-0.506059,14.950000,Yes
156,5e8w_A_rec_2wou_zzf_lig_tt_min_0_pocket10_gen_sample_15,26,-1.733425,15.120000,No
157,NS-012451570-0000,23,-1.050254,-3.600000,Yes
158,3bvj_A_rec_3ex1_6cn_lig_tt_min_0_pocket10_gen_sample_1,23,-2.310473,16.540000,No
159,NS-021920848-0000,22,-0.258147,23.790000,Yes
160,2zjw_A_rec_3mb6_01i_lig_tt_min_0_pocket10_gen_sample_13,22,-3.310276,11.070000,No
161,NS-006233378-0001,16,-0.840033,-7.450000,Yes
162,3i28_A_rec_5am5_6nz_lig_tt_docked_8_pocket10_gen_sample_1,16,-0.416197,0.320000,No
163,NS-019817095-0000,22,-0.476448,-4.840000,Yes
164,3lhv_A_rec_3lhv_bmq_lig_tt_docked_0_pocket10_gen_sample_8,22,-2.109832,10.850000,No
165,NS-019732004-0000,26,0.622297,2.540000,Yes
166,4o7e_A_rec_5u28_82v_lig_tt_min_0_pocket10_gen_sample_1,26,-1.870624,12.240000,No
167,NS-012594321-0000,25,-1.116245,7.650000,Yes
168,2wtc_A_rec_2wtd_zzk_lig_tt_docked_0_pocket10_gen_sample_5,25,-3.151491,-3.180000,No
169,NS-005874596-0000,28,-0.286342,-7.080000,Yes
170,1svk_A_rec_3onw_gdp_lig_tt_docked_0_pocket10_gen_sample_6,28,-3.588175,20.640000,No
171,NS-019492050-0000,25,-1.279654,-9.260000,Yes
172,5opv_A_rec_2cgu_3a3_lig_tt_min_0_pocket10_gen_sample_13,25,-2.657331,11.550000,No
173,NS-023325699-0000,13,0.033267,13.390000,Yes
174,1b7y_A_rec_3hfz_mty_lig_tt_min_0_pocket10_gen_sample_17,13,-2.177633,3.770000,No
175,NS-019692500-0000,17,0.513649,7.100000,Yes
176,4r0a_A_rec_4r0a_uri_lig_tt_min_0_pocket10_gen_sample_9,17,-2.399479,10.480000,No
177,NS-019824528-0000,28,-0.799854,-7.100000,Yes
179,NS-015360069-0000,26,-1.315235,6.040000,Yes
180,2ydk_A_rec_4jik_1ko_lig_tt_min_0_pocket10_gen_sample_1,26,-2.970612,20.120000,No
181,NS-019555170-0000,19,-0.287133,1.650000,Yes
182,1rqp_A_rec_2v7v_5fd_lig_tt_docked_0_pocket10_gen_sample_4,19,-1.933743,6.820000,No
183,NS-022222060-0000,23,-0.588922,-12.070000,Yes
184,4u2y_A_rec_5lgw_n9s_lig_tt_docked_4_pocket10_gen_sample_19,23,-3.166595,14.780000,No
185,NS-020169711-0000,20,-0.069337,0.260000,Yes
186,2wr6_A_rec_2wq9_ola_lig_tt_min_0_pocket10_gen_sample_3,20,-2.497082,11.160000,No
187,NS-042509270-0000F6619-3717,26,-0.794415,14.700000,Yes
188,5fqr_A_rec_5fqr_qhg_lig_tt_min_0_pocket10_gen_sample_7,26,-1.839100,-1.220000,No
189,NS-007162053-0000,12,-0.799371,4.880000,Yes
190,2b7n_C_rec_2b7n_ntm_lig_tt_min_0_pocket10_gen_sample_13,12,-2.467170,22.230000,No
191,NS-019941864-0000,22,-0.530814,-0.130000,Yes
192,5l4u_A_rec_4auj_hnw_lig_tt_docked_1_pocket10_gen_sample_7,22,-2.319176,18.780000,No
193,NS-016948941-0000,25,-0.625639,-3.600000,Yes
194,5j82_A_rec_2cct_2e1_lig_tt_min_0_pocket10_gen_sample_11,25,-1.370302,7.690000,No
195,NS-019647366-0000,19,0.051194,9.420000,Yes
196,4bdg_A_rec_4bdc_odh_lig_tt_docked_2_pocket10_gen_sample_16,19,-3.135850,16.220000,No
197,NS-020260743-0000,21,-0.947162,5.980000,Yes
198,3d4s_A_rec_3d4s_tim_lig_tt_docked_0_pocket10_gen_sample_11,21,-2.878081,1.610000,No
199,NS-020124554-0000,22,-1.092763,-8.590000,Yes
200,NS-022284917-0001,24,-0.717679,2.300000,Yes
201,3dbs_A_rec_3r7q_fav_lig_tt_min_0_pocket10_gen_sample_15,24,-2.253974,12.350000,No
202,NS-018392560-0000,25,-0.988289,-8.890000,Yes
203,5dx4_A_rec_5ctl_eb9_lig_tt_docked_2_pocket10_gen_sample_5,25,-2.036529,5.130000,No
204,NS-018420821-0000,25,-0.698557,-1.600000,Yes
205,5cxy_A_rec_5bo6_cdp_lig_tt_docked_0_pocket10_gen_sample_3,25,-4.718209,15.430000,No
206,NS-021479796-0000,17,-0.195557,-7.410000,Yes
207,1p7c_A_rec_2vtk_thm_lig_tt_min_0_pocket10_gen_sample_19,17,-2.756837,13.930000,No
208,NS-023478079-0000,18,-0.642200,-9.190000,Yes
209,1ps3_A_rec_2f1a_gb2_lig_tt_min_0_pocket10_gen_sample_17,18,-3.390218,15.900000,No
210,NS-019851588-0000,25,-0.466018,-9.270000,Yes
211,5p9b_A_rec_5p97_77k_lig_tt_docked_3_pocket10_gen_sample_17,25,-3.397192,7.780000,No
212,NS-023572513-0000,27,-1.135528,-0.180000,Yes
213,3pa5_A_rec_4fst_hk4_lig_tt_min_0_pocket10_gen_sample_16,27,-2.527084,17.380000,No
214,NS-017285164-0000,25,-0.246567,9.450000,Yes
215,5up0_A_rec_5up0_8hp_lig_tt_docked_0_pocket10_gen_sample_3,25,-2.127635,-3.620000,No
216,NS-019203722-0000,28,0.009476,4.530000,Yes
217,3ebi_A_rec_4zw7_4sz_lig_tt_min_0_pocket10_gen_sample_6,28,-3.121451,6.060000,No
218,NS-050066729-0000,18,-0.526706,-6.960000,Yes
219,4m47_A_rec_3jps_doc_lig_tt_min_0_pocket10_gen_sample_13,18,-2.127787,9.450000,No
220,NS-017936525-0000,23,-0.782674,10.600000,Yes
221,1b9v_A_rec_1b9t_rai_lig_tt_min_0_pocket10_gen_sample_10,23,-3.411837,37.270000,No
222,NS-012686514-0000,25,-1.234809,-4.540000,Yes
223,3mt7_A_rec_1z62_iaa_lig_tt_min_0_pocket10_gen_sample_15,25,-3.415642,19.220000,No
224,NS-023611037-0000,29,-2.175471,-13.110000,Yes
225,5m24_A_rec_1fcx_184_lig_tt_docked_0_pocket10_gen_sample_15,29,-4.026299,8.050000,No
226,NS-017360681-0000,26,-1.502988,3.200000,Yes
227,2xae_A_rec_4a51_dq8_lig_tt_min_0_pocket10_gen_sample_5,26,-2.866405,8.260000,No
228,NS-020246725-0000,26,-1.344420,-9.070000,Yes
229,3os5_A_rec_4j8o_sah_lig_tt_docked_3_pocket10_gen_sample_13,26,-3.300858,-1.450000,No
230,NS-000614503-0000,19,-1.003160,-1.000000,Yes
231,4ac2_A_rec_4wns_3rl_lig_tt_min_0_pocket10_gen_sample_5,19,-0.830615,24.820000,No
232,NS-021686857-0000,23,-0.979551,-17.470000,Yes
233,1rti_A_rec_2wom_zze_lig_tt_min_0_pocket10_gen_sample_6,23,-1.922954,15.450000,No
234,NS-006105376-0000,20,0.236987,3.260000,Yes
235,2cnh_A_rec_2nta_521_lig_tt_min_0_pocket10_gen_sample_7,20,-2.257097,0.840000,No
236,NS-021505258-0000,22,-0.921648,-19.950000,Yes
237,1jla_A_rec_1c1c_612_lig_tt_min_0_pocket10_gen_sample_17,22,-1.722353,-14.680000,No
238,NS-012686505-0000,19,-0.163814,-5.090000,Yes
239,5fri_A_rec_4x2j_3wn_lig_tt_min_0_pocket10_gen_sample_1,19,-3.955833,19.310000,No
240,NS-018361250-0000,26,-0.888548,4.520000,Yes
241,5cgv_A_rec_4m4q_21a_lig_tt_min_0_pocket10_gen_sample_13,26,-1.997006,13.860000,No
242,NS-019010763-0000,23,-0.480905,4.650000,Yes
243,4ax9_H_rec_1vzq_shy_lig_tt_min_0_pocket10_gen_sample_9,23,-1.681049,-2.550000,No
244,4xmt_A_rec_4xmx_bes_lig_tt_min_0_pocket10_gen_sample_5,22,-2.006836,23.440000,No
245,NS-013916220-0000,27,-0.727040,-1.350000,Yes
246,3vuz_A_rec_4e47_sam_lig_tt_min_0_pocket10_gen_sample_5,27,-0.767808,18.690000,No
247,NS-042320836-0000,12,0.192849,6.630000,Yes
248,3pec_A_rec_5kid_7k9_lig_tt_min_0_pocket10_gen_sample_12,12,-0.844254,-1.400000,No
249,NS-021545473-0000,25,0.018951,8.920000,Yes
250,5moh_A_rec_3pe1_3ng_lig_tt_min_0_pocket10_gen_sample_19,25,-3.661286,22.250000,No
251,NS-012595140-0000,27,-1.314688,-4.660000,Yes
252,3dhf_A_rec_4lvg_20o_lig_tt_docked_0_pocket10_gen_sample_15,27,-1.691730,1.910000,No
253,NS-021664755-0000,25,-0.698096,-0.730000,Yes
254,2rbe_C_rec_4iju_1eo_lig_tt_min_0_pocket10_gen_sample_7,25,-3.447786,18.890000,No
255,NS-021617051-0000,32,-1.039384,-13.710000,Yes
256,3tj2_C_rec_3lbk_k23_lig_tt_docked_14_pocket10_gen_sample_5,32,-1.017969,16.680000,No
257,NS-017175274-0000,20,0.062442,-2.390000,Yes
259,NS-012730117-0000,18,-0.963257,1.380000,Yes
260,5ltz_A_rec_5lu6_i22_lig_tt_docked_1_pocket10_gen_sample_15,18,-2.084877,22.100000,No
261,NS-005846283-0000,24,-0.581408,5.890000,Yes
262,5vom_A_rec_4zw1_4v1_lig_tt_docked_0_pocket10_gen_sample_11,24,-1.273292,-16.550000,No
263,NS-012743592-0000,26,-0.637650,1.110000,Yes
265,NS-006016832-0000,21,-1.035965,-1.500000,Yes
266,NS-014928564-0000,19,-0.911512,19.040000,Yes
267,1k9s_D_rec_1pke_2fd_lig_tt_docked_0_pocket10_gen_sample_19,19,-2.054335,-3.400000,No
268,NS-020368114-0000,25,-1.262024,14.510000,Yes
269,5ht4_A_rec_1kmv_lii_lig_tt_min_0_pocket10_gen_sample_12,25,-1.892242,9.710000,No
270,NS-021895178-0000,23,-0.354230,-0.410000,Yes
271,3pba_A_rec_5hzc_65w_lig_tt_docked_1_pocket10_gen_sample_3,23,-3.149683,17.000000,No
272,NS-019991566-0000,18,0.762506,-4.990000,Yes
273,2bge_A_rec_1c88_ota_lig_tt_docked_0_pocket10_gen_sample_13,18,-4.041168,8.450000,No
274,NS-012414133-0000,27,-1.382481,-3.270000,Yes
275,1kaz_A_rec_1hpm_adp_lig_tt_docked_1_pocket10_gen_sample_19,27,-1.518128,8.510000,No
276,NS-025026464-0000,23,-0.997116,5.050000,Yes
278,NS-019771242-0000,26,-1.171807,3.440000,Yes
279,4z1n_A_rec_1if7_sbr_lig_tt_docked_15_pocket10_gen_sample_3,26,-4.741974,24.570000,No
280,NS-006667235-0000,10,-1.536503,22.470000,Yes
281,1dod_A_rec_1bkw_phb_lig_tt_docked_1_pocket10_gen_sample_1,10,-3.004067,18.870000,No
282,NS-012995218-0000,26,-0.502786,6.330000,Yes
283,1iqm_L_rec_1iqm_xmk_lig_tt_docked_1_pocket10_gen_sample_12,26,-1.705743,3.380000,No
284,NS-009601703-0000,22,-0.532830,-5.600000,Yes
285,5em5_A_rec_4i23_1c9_lig_tt_docked_0_pocket10_gen_sample_17,22,-4.947406,19.120000,No
286,NS-023372040-0000,17,-0.518434,-11.480000,Yes
287,2vp9_D_rec_1ot3_thm_lig_tt_docked_0_pocket10_gen_sample_9,17,-3.057322,14.720000,No
288,NS-013381254-0000,28,-0.531004,9.320000,Yes
290,NS-042449243-0000,21,-0.747435,-18.910000,Yes
291,3l17_A_rec_3zw3_zw3_lig_tt_docked_0_pocket10_gen_sample_3,21,-3.661160,-2.640000,No
292,NS-021758544-0000,18,-0.566880,-19.000000,Yes
293,3u4u_A_rec_3wik_lct_lig_tt_min_0_pocket10_gen_sample_17,18,-4.639486,9.140000,No
294,4g28_B_rec_5wc5_ajv_lig_tt_min_0_pocket10_gen_sample_5,13,-1.060904,-0.790000,No
295,NS-022294541-0000,26,-1.471317,-14.570000,Yes
296,3pa3_A_rec_2brg_dfy_lig_tt_min_0_pocket10_gen_sample_11,26,-3.032416,-8.880000,No
297,NS-019449727-0000,27,-0.503580,-12.220000,Yes
298,3vuz_A_rec_4e47_sam_lig_tt_min_0_pocket10_gen_sample_1,27,-0.341630,26.470000,No
299,NS-013956451-0000,23,-0.316772,10.700000,Yes
300,3nf8_A_rec_3zt3_zt4_lig_tt_docked_0_pocket10_gen_sample_7,23,-2.190465,4.580000,No
301,NS-012813769-0000,23,-0.097666,2.390000,Yes
302,4h2w_A_rec_4h2s_amp_lig_tt_min_0_pocket10_gen_sample_6,23,-3.724463,33.820000,No
303,NS-006867972-0000,14,-1.006649,-9.630000,Yes
304,2ay5_B_rec_2ay5_iop_lig_tt_min_0_pocket10_gen_sample_13,14,-1.039168,0.100000,No
305,NS-016033427-0000,23,-0.649920,2.150000,Yes
306,1c0u_A_rec_1dtt_ftc_lig_tt_min_0_pocket10_gen_sample_17,23,-2.531953,7.260000,No
307,NS-020006091-0000,23,-0.052259,-4.620000,Yes
308,2jav_A_rec_2jav_5z5_lig_tt_min_0_pocket10_gen_sample_9,23,-1.911213,6.300000,No
309,NS-013872268-0000,28,-0.810906,-9.950000,Yes
310,3ch6_A_rec_2irw_nn4_lig_tt_min_0_pocket10_gen_sample_5,28,-4.657761,8.470000,No
311,NS-014489894-0000,21,0.172124,2.860000,Yes
312,1e2q_A_rec_1e9f_tmp_lig_tt_docked_0_pocket10_gen_sample_3,21,-1.296008,6.100000,No
313,NS-019602774-0000,24,-1.280501,-15.940000,Yes
314,1d8d_B_rec_1d8e_fii_lig_tt_docked_0_pocket10_gen_sample_17,24,-3.713281,4.590000,No
315,NS-012796780-0000,23,-0.765159,17.410000,Yes
316,2jav_A_rec_2jav_5z5_lig_tt_min_0_pocket10_gen_sample_7,23,-1.973074,9.220000,No
317,NS-000602004-0000,14,-0.497221,7.760000,Yes
318,5ntn_C_rec_5g44_swx_lig_tt_min_0_pocket10_gen_sample_17,14,-1.046937,9.730000,No
319,NS-012591796-0000,26,-0.467509,3.190000,Yes
320,3apd_A_rec_3apc_mmd_lig_tt_docked_0_pocket10_gen_sample_17,26,-2.365274,1.400000,No
321,NS-014880306-0000,27,-1.491143,13.500000,Yes
323,NS-042360065-0000,24,-0.801315,8.590000,Yes
324,4zmg_A_rec_3kvm_951_lig_tt_min_0_pocket10_gen_sample_6,24,-2.650334,2.600000,No
